,0
P00000142,1636
P00000242,546
P00000342,349
P00000442,126
P00000542,229
P00000642,725
P00000742,353
P00000842,54
P00000942,78
P00001042,710
P00001142,829
P00001242,129
P00001342,81
P00001442,122
P00001542,102
P00001642,505
P00001742,662
P00001842,119
P00001942,306
P00002042,134
P00002142,1046
P00002242,286
P00002342,96
P00002442,481
P00002542,782
P00002642,82
P00002742,46
P00002842,137
P00002942,309
P00003042,55
P00003142,114
P00003242,1191
P00003342,3
P00003442,1357
P00003542,51
P00003642,744
P00003742,7
P00003842,24
P00003942,1065
P00004042,21
P00004142,186
P00004242,161
P00004342,130
P00004442,227
P00004542,408
P00004642,124
P00004742,874
P00004842,303
P00004942,23
P00005042,1358
P00005142,341
P00005242,7
P00005342,37
P00005442,36
P00005542,7
P00005642,72
P00005742,404
P00005842,7
P00005942,271
P00006042,52
P00006142,426
P00006242,86
P00006342,59
P00006442,118
P00006542,77
P00006642,3
P00006742,47
P00006842,250
P00006942,731
P00007042,72
P00007142,73
P00007242,171
P00007342,90
P00007442,10
P00007542,124
P00007642,26
P00007742,39
P00007842,89
P00007942,42
P00008042,132
P00008142,71
P00008242,25
P00008342,17
P00008442,155
P00008542,179
P00008642,66
P00008742,149
P00008842,174
P00008942,2
P00009042,65
P00009142,66
P00009242,148
P00009342,501
P00009442,9
P00009542,39
P00009642,5
P00009742,37
P00010042,41
P00010142,29
P00010242,510
P00010342,299
P00010442,9
P00010542,195
P00010642,4
P00010742,1922
P00010842,972
P00010942,445
P00011042,42
P00011142,8
P00011242,33
P00011342,58
P00011442,51
P00011542,7
P00011642,3
P00011742,31
P00011842,145
P00011942,86
P00012042,9
P00012142,253
P00012242,80
P00012342,1
P00012442,10
P00012542,7
P00012642,2
P00012742,12
P00012842,67
P00012942,1
P00013042,1
P00013142,106
P00013242,7
P00013342,6
P00013442,1
P00013542,1
P00013642,105
P00013742,533
P00013842,1
P00013942,334
P00014042,280
P00014142,14
P00014242,145
P00014342,18
P00014442,32
P00014542,960
P00014642,451
P00014742,55
P00014842,607
P00014942,138
P00015042,61
P00015142,49
P00015242,148
P00015342,206
P00015442,86
P00015542,421
P00015642,595
P00015742,381
P00015842,411
P00015942,307
P00016042,649
P00016142,44
P00016242,5
P00016342,274
P00016442,94
P00016542,239
P00016642,70
P00016742,368
P00016842,445
P00016942,66
P00017042,179
P00017142,172
P00017242,97
P00017342,16
P00017442,38
P00017542,365
P00017642,73
P00017742,43
P00017842,23
P00017942,24
P00018042,439
P00018142,159
P00018242,86
P00018342,148
P00018442,12
P00018542,73
P00018642,56
P00018742,2
P00018842,153
P00018942,165
P00019042,121
P00019142,438
P00019242,13
P00019342,463
P00019442,93
P00019542,9
P00019642,26
P00019742,19
P00019842,166
P00019942,155
P00020042,68
P00020142,67
P00020242,169
P00020342,513
P00020442,42
P00020542,29
P00020642,31
P00020742,7
P00020842,99
P00020942,22
P00021042,108
P00021142,276
P00021242,54
P00021342,157
P00021442,16
P00021542,21
P00021642,259
P00021742,1107
P00021842,284
P00021942,193
P00022042,1
P00022142,105
P00022242,11
P00022342,86
P00022442,283
P00022542,534
P00022642,264
P00022742,177
P00022842,118
P00022942,737
P00023042,258
P00023142,210
P00023242,23
P00023342,133
P00023442,34
P00023542,20
P00023642,62
P00023742,6
P00023842,9
P00023942,10
P00024042,556
P00024142,369
P00024242,111
P00024342,197
P00024442,21
P00024542,16
P00024642,269
P00024742,574
P00024842,30
P00024942,56
P00025042,163
P00025142,91
P00025242,109
P00025342,89
P00025442,2310
P00025542,232
P00025642,135
P00025742,18
P00025842,4
P00025942,619
P00026042,548
P00026142,103
P00026242,42
P00026342,45
P00026442,60
P00026542,47
P00026642,296
P00026742,193
P00026842,16
P00026942,60
P00027042,179
P00027142,126
P00027242,28
P00027342,35
P00027442,162
P00027542,183
P00027642,161
P00027742,14
P00027842,1
P00027942,13
P00028042,533
P00028142,128
P00028242,128
P00028342,40
P00028442,561
P00028542,693
P00028642,33
P00028742,23
P00028842,1713
P00028942,19
P00029042,19
P00029142,109
P00029242,545
P00029342,34
P00029442,64
P00029542,313
P00029642,26
P00029742,98
P00029842,274
P00029942,185
P00030042,159
P00030142,37
P00030242,4
P00030342,1
P00030442,94
P00030542,40
P00030642,231
P00030742,115
P00030842,859
P00030942,512
P00031042,1737
P00031142,207
P00031242,27
P00031342,43
P00031442,158
P00031542,23
P00031642,40
P00031742,50
P00031842,269
P00031942,115
P00032042,765
P00032142,108
P00032242,17
P00032342,118
P00032442,332
P00032542,89
P00032642,32
P00032742,16
P00032842,540
P00032942,176
P00033042,528
P00033142,68
P00033242,21
P00033342,397
P00033442,34
P00033542,590
P00033642,352
P00033742,95
P00033842,37
P00033942,339
P00034042,831
P00034142,407
P00034242,200
P00034342,91
P00034442,560
P00034542,53
P00034642,202
P00034742,1690
P00034842,980
P00034942,110
P00035042,13
P00035142,98
P00035242,204
P00035342,186
P00035442,49
P00035542,862
P00035642,54
P00035742,194
P00035842,912
P00035942,620
P00036042,43
P00036142,312
P00036242,180
P00036342,341
P00036442,201
P00036542,152
P00036642,11
P00036742,272
P00036842,1292
P00036942,116
P00037042,339
P00037142,1078
P00037242,161
P00037342,213
P00037442,224
P00037542,34
P00037642,8
P00037742,24
P00037842,76
P00037942,69
P00038042,13
P00038142,41
P00038242,34
P00038342,17
P00038442,79
P00038542,16
P00038642,1
P00038742,11
P00038842,1
P00038942,1
P00039042,1
P00039142,4
P00039242,162
P00039342,8
P00039442,151
P00039542,61
P00039642,36
P00039742,357
P00039842,10
P00039942,228
P00040042,196
P00040142,77
P00040242,141
P00040342,70
P00040442,168
P00040542,20
P00040642,121
P00040742,275
P00040842,78
P00040942,51
P00041042,175
P00041142,63
P00041242,81
P00041342,205
P00041442,129
P00041542,196
P00041642,137
P00041742,18
P00041842,282
P00041942,303
P00042042,36
P00042142,532
P00042242,391
P00042342,110
P00042442,47
P00042542,116
P00042642,1
P00042742,741
P00042842,505
P00042942,501
P00043042,23
P00043142,65
P00043242,76
P00043342,194
P00043442,21
P00043542,176
P00043642,53
P00043742,172
P00043842,74
P00043942,30
P00044042,52
P00044142,641
P00044242,219
P00044342,77
P00044442,1573
P00044542,67
P00044642,110
P00044742,28
P00044842,70
P00044942,21
P00045042,37
P00045142,160
P00045242,77
P00045342,449
P00045442,34
P00045542,273
P00045642,55
P00045742,28
P00045842,468
P00045942,35
P00046042,116
P00046142,763
P00046242,252
P00046342,30
P00046442,145
P00046542,16
P00046642,104
P00046742,2084
P00046842,233
P00046942,142
P00047042,64
P00047142,22
P00047242,388
P00047342,49
P00047442,45
P00047542,33
P00047642,75
P00047742,137
P00047842,171
P00047942,267
P00048042,233
P00048142,303
P00048242,35
P00048342,27
P00048442,509
P00048542,40
P00048642,37
P00048742,654
P00048842,81
P00048942,124
P00049042,12
P00049142,128
P00049242,57
P00049342,92
P00049442,238
P00049542,443
P00049642,475
P00049742,31
P00049842,118
P00049942,141
P00050042,49
P00050142,277
P00050242,351
P00050342,186
P00050442,299
P00050542,122
P00050642,150
P00050742,294
P00050842,85
P00050942,65
P00051042,89
P00051142,366
P00051242,18
P00051342,6
P00051442,1794
P00051542,55
P00051642,565
P00051742,1
P00051842,262
P00051942,308
P00052042,154
P00052142,212
P00052242,230
P00052342,39
P00052442,164
P00052542,247
P00052642,769
P00052742,132
P00052842,1397
P00052942,163
P00053042,520
P00053142,103
P00053242,1
P00053342,260
P00053442,91
P00053542,102
P00053642,123
P00053742,131
P00053842,781
P00053942,413
P00054042,414
P00054142,17
P00054242,510
P00054342,110
P00054442,2
P00054542,116
P00054642,4
P00054742,5
P00054842,9
P00054942,378
P00055042,13
P00055142,34
P00055242,46
P00055342,8
P00055442,13
P00055542,23
P00055642,79
P00055742,18
P00055842,26
P00055942,2
P00056042,15
P00056142,140
P00056242,93
P00056342,1
P00056442,42
P00056542,2
P00056642,1
P00056742,46
P00056842,102
P00056942,2
P00057042,21
P00057242,318
P00057342,519
P00057442,880
P00057542,1042
P00057642,2079
P00057742,1152
P00057842,1
P00057942,1134
P00058042,2014
P00058142,590
P00058242,829
P00058342,388
P00058442,808
P00058542,7
P00058642,205
P00058742,22
P00058842,1
P00058942,30
P00059042,39
P00059142,180
P00059242,73
P00059342,1
P00059442,1949
P00059542,49
P00059642,509
P00059742,177
P00059842,61
P00059942,67
P00060042,7
P00060142,52
P00060242,211
P00060342,13
P00060442,6
P00060542,26
P00060642,32
P00060742,3
P00060842,1
P00060942,15
P00061042,98
P00061142,375
P00061242,5
P00061342,57
P00061442,11
P00061542,14
P00061642,1
P00061742,57
P00061842,99
P00061942,16
P00062042,64
P00062142,52
P00062242,1
P00062342,1
P00062442,1
P00062542,1
P00062642,18
P00062742,347
P00062842,1197
P00062942,9
P00063042,67
P00063242,7
P00063342,467
P00063442,1
P00063542,27
P00063642,1
P00063742,1
P00063842,18
P00063942,1
P00064042,405
P00064142,97
P00064242,218
P00064342,5
P00064442,26
P00064542,1
P00064642,40
P00064742,34
P00064842,18
P00064942,43
P00065042,360
P00065142,1
P00065242,451
P00065342,303
P00065442,245
P00065542,1
P00065642,48
P00065742,13
P00065842,3
P00065942,1
P00066042,22
P00066142,3
P00066242,158
P00066342,2
P00066442,95
P00066542,85
P00066642,102
P00066742,105
P00066842,4
P00066942,61
P00067042,5
P00067142,113
P00067342,22
P00067442,7
P00067542,30
P00067642,31
P00067742,2
P00067842,216
P00067942,523
P00068042,109
P00068142,43
P00068242,46
P00068342,1
P00068442,125
P00068542,37
P00068642,19
P00068742,1
P00068842,25
P00068942,194
P00069042,344
P00069142,24
P00069242,319
P00069342,57
P00069442,8
P00069542,175
P00069642,1
P00069742,1
P00069842,36
P00069942,4
P00070042,1035
P00070142,3
P00070242,80
P00070342,850
P00070442,230
P00070542,230
P00070642,143
P00070742,80
P00070842,3
P00070942,519
P00071042,22
P00071142,42
P00071242,321
P00071342,3
P00071442,1072
P00071542,14
P00071642,19
P00071742,10
P00071842,4
P00071942,3
P00072042,3
P00072142,1
P00072242,48
P00072342,27
P00072442,98
P00072542,235
P00072742,49
P00072842,134
P00072942,88
P00073042,19
P00073142,7
P00073242,9
P00073342,1
P00073442,4
P00073542,2
P00073642,592
P00073742,41
P00073842,1350
P00073942,79
P00074042,121
P00074142,299
P00074242,290
P00074342,579
P00074442,351
P00074542,3
P00074642,727
P00074742,1
P00074842,1
P00074942,2
P00075042,1
P00075142,6
P00075242,2
P00075342,153
P00075442,260
P00075542,490
P00075642,94
P00075742,331
P00075842,52
P00075942,183
P00076042,271
P00076142,46
P00076242,9
P00076342,30
P00076442,73
P00076542,99
P00076642,6
P00076742,37
P00076942,6
P00077042,149
P00077142,2
P00077242,2
P00077342,2
P00077442,22
P00077542,1
P00077642,1
P00077742,42
P00077842,108
P00077942,230
P00078042,16
P00078142,431
P00078242,58
P00078342,3
P00078442,89
P00078542,197
P00078642,166
P00078742,392
P00078842,109
P00078942,38
P00079042,17
P00079142,116
P00079342,7
P00079442,26
P00079542,7
P00079642,125
P00079742,397
P00079842,25
P00079942,99
P00080042,482
P00080142,3
P00080242,6
P00080342,1719
P00080442,1
P00080542,8
P00080642,205
P00080742,21
P00080842,10
P00080942,9
P00081142,453
P00081242,16
P00081342,1
P00081442,36
P00081542,43
P00081642,1
P00081742,6
P00081842,34
P00081942,18
P00082042,17
P00082142,1
P00082242,187
P00082342,240
P00082442,55
P00082542,47
P00082642,1
P00082742,33
P00082842,76
P00082942,2
P00083042,35
P00083142,2
P00083242,140
P00083342,121
P00083442,52
P00083542,1
P00083642,35
P00083742,76
P00083842,444
P00083942,599
P00084042,278
P00084142,138
P00084242,541
P00084342,709
P00084442,814
P00084542,294
P00084642,155
P00084742,84
P00084842,1045
P00084942,327
P00085042,649
P00085142,247
P00085242,1306
P00085342,824
P00085442,496
P00085542,280
P00085642,327
P00085742,56
P00085842,137
P00085942,1367
P00086042,902
P00086142,240
P00086242,374
P00086342,886
P00086442,1356
P00086542,9
P00086642,308
P00086742,63
P00086842,311
P00086942,74
P00087042,354
P00087142,160
P00087242,147
P00087342,346
P00087442,236
P00087542,55
P00087642,101
P00087742,34
P00087842,150
P00087942,9
P00088042,287
P00088142,83
P00088242,239
P00088342,138
P00088442,73
P00088542,200
P00088642,131
P00088742,149
P00088842,100
P00088942,172
P00089042,224
P00089142,304
P00089242,208
P00089342,585
P00089442,297
P00089542,324
P00089642,32
P00089742,28
P00089842,10
P00089942,46
P00090042,15
P00090142,18
P00090242,9
P00090342,41
P00090442,39
P00090542,206
P00090642,5
P00090742,13
P00090842,563
P00090942,829
P00091042,29
P00091142,213
P00091242,5
P00091342,62
P00091442,8
P00091542,1
P00091642,42
P00091742,2
P00091842,76
P00091942,3
P00092042,3
P00092142,64
P00092242,22
P00092342,4
P00092442,172
P00092542,28
P00092642,60
P00092742,1
P00092842,42
P00092942,132
P00093042,14
P00093142,7
P00093242,349
P00093342,206
P00093442,21
P00093542,80
P00093642,216
P0009842,101
P0009942,200
P00100042,27
P00100142,87
P00100242,1
P00100342,2
P00100442,1027
P00100542,15
P00100642,603
P00100742,307
P00100842,1037
P00100942,719
P00101042,340
P00101142,122
P00101242,128
P00101342,525
P00101442,105
P00101542,294
P00101642,14
P00101742,548
P00101842,963
P00101942,898
P00102042,290
P00102142,578
P00102242,533
P00102342,951
P00102442,432
P00102542,258
P00102642,1782
P00102742,3
P00102842,162
P00102942,323
P00103042,789
P00103142,4
P00103242,315
P00103342,382
P00103442,34
P00103542,3
P00103642,72
P00103742,29
P00103842,39
P00103942,27
P00104042,1
P00104142,10
P00104242,9
P00104342,1
P00104442,28
P00104542,357
P00104642,10
P00104742,29
P00104842,321
P00104942,298
P00105042,258
P00105142,1307
P00105242,132
P00105342,697
P00105442,168
P00105542,158
P00105642,171
P00105742,1
P00105842,2
P00105942,319
P00106042,1251
P00106142,5
P00106242,1
P00106342,1
P00106442,11
P00106542,2
P00106642,218
P00106742,703
P00106842,3
P00106942,120
P00107042,25
P00107142,26
P00107242,9
P00107342,5
P00107442,3
P00107542,69
P00107642,74
P00107742,15
P00107842,2
P00107942,1
P00108042,65
P00108142,14
P00108242,27
P00108342,11
P00108442,327
P00108542,489
P00108642,150
P00108742,4
P00108842,280
P00108942,99
P00109042,107
P00109142,172
P00109242,671
P00109342,39
P00109442,9
P00109542,765
P00109642,69
P00109742,352
P00109842,435
P00109942,112
P00110042,517
P00110142,213
P00110242,99
P00110342,168
P00110442,86
P00110542,1355
P00110642,160
P00110742,2292
P00110842,1834
P00110942,1976
P00111042,712
P00111142,1436
P00111242,663
P00111342,57
P00111442,475
P00111542,657
P00111642,182
P00111742,961
P00111842,721
P00111942,925
P00112042,134
P00112142,2279
P00112242,182
P00112342,380
P00112442,1308
P00112542,1625
P00112642,740
P00112742,67
P00112842,268
P00112942,182
P00113042,982
P00113142,1053
P00113242,1317
P00113342,966
P00113442,371
P00113542,329
P00113642,1056
P00113742,170
P00113842,190
P00113942,525
P00114042,1052
P00114142,585
P00114242,41
P00114342,765
P00114442,808
P00114542,544
P00114642,74
P00114742,235
P00114842,270
P00114942,1673
P00115042,53
P00115142,861
P00115242,247
P00115342,558
P00115442,276
P00115542,653
P00115642,997
P00115742,399
P00115842,568
P00115942,742
P00116042,189
P00116142,946
P00116242,429
P00116342,358
P00116442,40
P00116542,461
P00116642,371
P00116742,857
P00116842,1403
P00116942,239
P00117042,428
P00117142,542
P00117242,547
P00117342,196
P00117442,1785
P00117542,772
P00117642,592
P00117742,255
P00117842,526
P00117942,1985
P00118042,459
P00118142,518
P00118242,111
P00118342,359
P00118442,578
P00118542,708
P00118642,284
P00118742,910
P00118842,156
P00118942,226
P00119042,160
P00119142,743
P00119242,329
P00119342,434
P00119442,622
P00119542,216
P00119642,560
P00119742,893
P00119842,144
P00119942,171
P00120042,1286
P00120142,453
P00120242,505
P00120342,861
P00120442,211
P00120542,430
P00120642,372
P00120742,315
P00120842,580
P00120942,241
P00121042,300
P00121142,590
P00121242,247
P00121342,1094
P00121442,90
P00121542,114
P00121642,1235
P00121742,32
P00121842,6
P00121942,21
P00122042,8
P00122142,2
P00122342,25
P00122442,718
P00122542,412
P00122642,23
P00122742,36
P00122842,18
P00122942,17
P00123042,37
P00123142,279
P00123242,21
P00123342,31
P00123442,85
P00123542,41
P00123642,85
P00123742,570
P00123842,286
P00123942,16
P00124042,43
P00124142,46
P00124242,527
P00124342,163
P00124442,43
P00124542,207
P00124642,537
P00124742,287
P00124842,427
P00124942,131
P00125042,368
P00125142,185
P00125242,12
P00125342,330
P00125442,28
P00125542,70
P00125642,141
P00125742,214
P00125842,56
P00125942,1035
P00126042,438
P00126142,921
P00126242,176
P00126342,1
P00126442,126
P00126542,68
P00126642,84
P00126742,2
P00126842,43
P00126942,85
P00127042,279
P00127142,3
P00127242,891
P00127342,623
P00127442,778
P00127542,475
P00127642,1125
P00127742,708
P00127842,880
P00127942,805
P00128042,443
P00128142,285
P00128242,650
P00128342,243
P00128442,94
P00128542,10
P00128642,3
P00128742,359
P00128942,1333
P00129042,288
P00129142,158
P00129242,101
P00129342,813
P00129442,166
P00129542,1055
P00129642,1089
P00129742,231
P00129842,836
P00129942,51
P00130042,46
P00130142,77
P00130242,130
P00130342,61
P00130442,371
P00130542,20
P00130642,680
P00130742,753
P00130842,300
P00130942,74
P00131042,291
P00131142,18
P00131242,42
P00131342,132
P00131442,24
P00131542,209
P00131642,29
P00131742,114
P00131842,7
P00131942,19
P00132042,221
P00132142,13
P00132242,124
P00132342,19
P00132442,42
P00132542,43
P00132642,238
P00132742,1
P00132842,188
P00132942,79
P00133042,5
P00133142,2
P00133242,6
P00133342,17
P00133442,246
P00133542,34
P00133642,63
P00133742,376
P00133842,51
P00133942,7
P00134042,111
P00134142,143
P00134242,39
P00134342,350
P00134442,10
P00134542,113
P00134642,63
P00134742,16
P00134842,49
P00134942,217
P00135042,20
P00135142,301
P00135242,69
P00135342,173
P00135442,26
P00135542,114
P00135642,90
P00135742,563
P00135842,104
P00135942,1
P00136042,4
P00136142,38
P00136242,33
P00136342,121
P00136442,65
P00136542,399
P00136642,20
P00136742,435
P00136842,192
P00136942,51
P00137042,111
P00137142,90
P00137242,526
P00137342,6
P00137442,125
P00137542,224
P00137642,32
P00137742,23
P00137842,10
P00137942,14
P00138042,39
P00138142,19
P00138242,36
P00138342,111
P00138442,312
P00138542,867
P00138642,14
P00138742,10
P00138842,114
P00138942,14
P00139042,29
P00139142,28
P00139242,11
P00139442,15
P00139542,597
P00139642,4
P00139742,143
P00139842,41
P00139942,932
P00140042,273
P00140142,4
P00140242,11
P00140342,6
P00140442,42
P00140542,38
P00140642,66
P00140742,1098
P00140842,2
P00140942,24
P00141042,6
P00141142,6
P00141242,21
P00141342,4
P00141442,79
P00141542,285
P00141642,3
P00141742,8
P00141842,189
P00141942,188
P00142042,6
P00142142,981
P00142242,55
P00142342,39
P00142442,26
P00142542,1
P00142642,12
P00142742,53
P00142842,26
P00142942,749
P00143042,3
P00143142,105
P00143242,1
P00143342,294
P00143442,2
P00143542,4
P00143642,465
P00143742,32
P00143842,27
P00143942,11
P00144042,369
P00144142,4
P00144242,664
P00144342,19
P00144442,35
P00144542,18
P00144642,1098
P00144742,11
P00144842,10
P00144942,1
P00145042,1991
P00145142,47
P00145242,47
P00145342,23
P00145442,1070
P00145542,22
P00145642,430
P00145742,452
P00145842,223
P00145942,395
P00146042,407
P00146142,377
P00146242,90
P00146342,121
P00146442,245
P00146542,56
P00146642,23
P00146742,642
P00146842,91
P00146942,54
P00147042,60
P00147142,57
P00147242,30
P00147342,278
P00147442,53
P00147542,66
P00147642,86
P00147742,831
P00147842,47
P00147942,1320
P00148042,180
P00148142,39
P00148242,22
P00148342,349
P00148442,183
P00148542,305
P00148642,1758
P00148742,284
P00148842,299
P00148942,62
P00149042,4
P00149142,91
P00149242,32
P00149342,680
P00149442,66
P00149542,193
P00149642,95
P00149742,1
P00149842,36
P00149942,14
P00150042,203
P00150142,388
P00150242,4
P00150342,778
P00150442,71
P00150542,936
P00150642,55
P00150742,198
P00150842,373
P00150942,631
P00151042,70
P00151142,69
P00151242,148
P00151342,158
P00151442,38
P00151542,14
P00151642,3
P00151742,847
P00151842,68
P00151942,56
P00152042,7
P00152142,12
P00152242,88
P00152342,6
P00152442,146
P00152542,66
P00152642,17
P00152742,574
P00152842,4
P00152942,162
P00153042,15
P00153142,88
P00153242,30
P00153342,25
P00153442,63
P00153542,18
P00153642,255
P00153742,880
P00153842,831
P00153942,8
P00154042,915
P00154142,31
P00154242,365
P00154342,19
P00154442,357
P00154542,98
P00154642,794
P00154742,170
P00154842,43
P00154942,5
P00155042,87
P00155142,267
P00155242,248
P00155342,184
P00155442,602
P00155542,16
P00155642,279
P00155742,354
P00155842,23
P00155942,19
P00156042,120
P00156142,219
P00156242,241
P00156342,40
P00156442,1215
P00156542,122
P00156642,1
P00156742,480
P00156842,173
P00156942,1
P00157042,9
P00157142,374
P00157242,4
P00157342,290
P00157442,5
P00157542,1207
P00157642,687
P00157842,19
P00157942,107
P00158042,172
P00158142,13
P00158242,573
P00158342,138
P00158442,49
P00158542,873
P00158642,66
P00158742,163
P00158842,217
P00158942,31
P00159042,4
P00159142,9
P00159242,52
P00159342,43
P00159442,712
P00159542,696
P00159642,9
P00159742,45
P00159842,164
P00159942,157
P00160042,295
P00160142,23
P00160242,35
P00160342,76
P00160442,37
P00160542,139
P00160642,175
P00160742,1
P00160842,16
P00160942,242
P00161042,15
P00161142,38
P00161242,183
P00161342,2
P00161442,721
P00161542,430
P00161642,5
P00161742,6
P00161842,166
P00161942,1116
P00162042,148
P00162142,2
P00162242,74
P00162342,38
P00162442,361
P00162542,11
P00162642,106
P00162742,2
P00162842,4
P00162942,128
P00163042,37
P00163142,161
P00163242,300
P00163342,83
P00163442,494
P00163542,135
P00163642,12
P00163742,30
P00163842,271
P00163942,10
P00164042,39
P00164142,18
P00164242,1
P00164342,86
P00164442,9
P00164642,159
P00164742,17
P00164842,84
P00164942,27
P00165042,31
P00165142,72
P00165242,23
P00165442,522
P00165542,1
P00165642,195
P00165742,380
P00165842,274
P00165942,97
P00166042,51
P00166142,55
P00166242,126
P00166342,77
P00166442,2
P00166542,1
P00166642,21
P00166742,248
P00166842,15
P00166942,138
P00167042,6
P00167142,9
P00167242,2
P00167342,1
P00167442,12
P00167542,37
P00167642,78
P00167742,57
P00167842,16
P00167942,132
P00168042,26
P00168142,36
P00168242,2
P00168342,148
P00168442,110
P00168542,9
P00168642,47
P00168742,141
P00168842,31
P00168942,2
P00169042,38
P00169142,52
P00169242,3
P00169342,7
P00169442,208
P00169542,25
P00169642,124
P00169742,707
P00169842,3
P00169942,8
P00170042,17
P00170142,18
P00170242,54
P00170342,380
P00170442,527
P00170542,231
P00170642,463
P00170742,4
P00170842,44
P00170942,294
P00171042,39
P00171142,3
P00171242,7
P00171342,307
P00171442,15
P00171542,376
P00171642,232
P00171742,36
P00171842,110
P00171942,12
P00172042,9
P00172142,49
P00172242,4
P00172342,25
P00172442,4
P00172542,82
P00172642,2
P00172742,25
P00172842,388
P00172942,1
P00173042,765
P00173142,32
P00173242,424
P00173342,696
P00173442,120
P00173542,284
P00173742,269
P00173842,886
P00173942,541
P00174042,90
P00174142,295
P00174242,477
P00174342,44
P00174442,1060
P00174542,206
P00174642,32
P00174742,28
P00174842,224
P00174942,23
P00175042,64
P00175142,3
P00175242,179
P00175342,30
P00175442,16
P00175542,62
P00175642,92
P00175742,68
P00175842,55
P00175942,98
P00176042,172
P00176142,80
P00176242,86
P00176342,98
P00176442,41
P00176542,295
P00176642,403
P00176742,156
P00176842,595
P00176942,161
P00177042,164
P00177142,274
P00177242,170
P00177342,517
P00177442,670
P00177542,886
P00177642,349
P00177742,394
P00177842,495
P00177942,420
P00178042,463
P00178142,497
P00178242,1013
P00178342,513
P00178442,193
P00178542,241
P00178642,578
P00178742,154
P00178842,435
P00178942,1181
P00179042,210
P00179142,208
P00179242,191
P00179342,156
P00179442,170
P00179542,241
P00179642,128
P00179742,159
P00179842,130
P00179942,91
P00180042,86
P00180142,69
P00180242,74
P00180342,408
P00180442,150
P00180542,86
P00180642,94
P00180742,96
P00180842,81
P00180942,42
P00181042,8
P00181142,12
P00181242,189
P00181342,111
P00181442,60
P00181542,625
P00181642,140
P00181742,91
P00181842,680
P00181942,90
P00182042,101
P00182142,1274
P00182242,807
P00182342,617
P00182442,617
P00182542,292
P00182642,569
P00182742,771
P00182842,54
P00182942,6
P00183042,338
P00183142,297
P00183242,912
P00183342,884
P00183442,499
P00183542,150
P00183642,290
P00183742,81
P00183842,129
P00183942,466
P00184042,492
P00184142,601
P00184242,603
P00184342,186
P00184442,602
P00184542,120
P00184642,171
P00184742,128
P00184842,98
P00184942,2066
P00185042,64
P00185142,29
P00185242,28
P00185342,154
P00185442,226
P00185542,45
P00185642,77
P00185742,38
P00185842,148
P00185942,1
P00186042,99
P00186142,113
P00186242,153
P00186342,127
P00186442,37
P00186542,43
P00186642,439
P00186742,12
P00186842,95
P00186942,31
P00187042,77
P00187142,79
P00187242,149
P00187342,286
P00187442,788
P00187542,31
P00187642,16
P00187742,73
P00187842,634
P00187942,215
P00188042,151
P00188142,6
P00188242,57
P00188342,7
P00188442,630
P00188542,380
P00188642,84
P00188742,440
P00188842,99
P00188942,110
P00189042,206
P00189142,141
P00189242,233
P00189342,48
P00189442,17
P00189542,67
P00189642,497
P00189742,118
P00189842,516
P00189942,10
P00190042,651
P00190142,801
P00190242,283
P00190342,209
P00190442,73
P00190542,438
P00190642,21
P00190742,466
P00190842,362
P00190942,185
