,0
P00191042,194
P00191142,159
P00191242,126
P00191342,198
P00191442,572
P00191542,87
P00191642,396
P00191742,171
P00191842,59
P00191942,162
P00192042,915
P00192142,10
P00192242,159
P00192342,28
P00192442,41
P00192542,723
P00192642,136
P00192742,150
P00192842,657
P00192942,454
P00193042,276
P00193142,249
P00193242,274
P00193342,62
P00193442,185
P00193542,863
P00193642,347
P00193742,215
P00193842,280
P00193942,119
P00194042,197
P00194142,180
P00194242,176
P00194342,167
P00194442,559
P00194542,337
P00194642,385
P00194742,4
P00194842,20
P00194942,6
P00195042,237
P00195142,23
P00195242,230
P00195342,430
P00195442,399
P00195542,180
P00195642,183
P00195742,389
P00195842,237
P00195942,279
P00196042,538
P00196142,306
P00196242,149
P00196342,258
P00196442,555
P00196542,545
P00196642,271
P00196742,171
P00196842,137
P00196942,82
P00197042,532
P00197142,95
P00197242,57
P00197342,214
P00197442,112
P00197542,209
P00197642,7
P00197742,18
P00197842,17
P00197942,168
P00198042,558
P00198142,568
P00198242,129
P00198342,161
P00198442,18
P00198542,88
P00198642,108
P00198742,623
P00198842,59
P00198942,104
P00199042,97
P00199142,142
P00199242,2
P00199342,88
P00199442,1169
P00199542,12
P00199642,145
P00199742,64
P00199842,73
P00199942,31
P00200042,47
P00200142,95
P00200242,74
P00200342,128
P00200442,119
P00200542,13
P00200642,380
P00200742,19
P00200842,201
P00200942,14
P00201042,37
P00201142,6
P00201242,5
P00201342,602
P00201442,857
P00201542,112
P00201642,23
P00201742,11
P00201842,2
P00201942,5
P00202042,15
P00202142,170
P00202242,183
P00202342,67
P00202442,19
P00202542,131
P00202642,5
P00202742,162
P00202842,7
P00202942,45
P00203042,12
P00203142,94
P00203242,1
P00203442,8
P00203642,1
P00203742,8
P00203842,9
P00203942,1
P00204042,1
P00204142,18
P00204242,259
P00204342,180
P00204442,2
P00204542,8
P00204642,1
P00204742,162
P00204842,31
P00204942,59
P00205042,78
P00205142,196
P00205242,106
P00205342,4
P00205442,612
P00205542,6
P00205642,403
P00205742,10
P00205842,284
P00205942,696
P00206042,181
P00206142,46
P00206242,2
P00206342,152
P00206442,343
P00206542,1
P00206642,65
P00206742,22
P00206842,12
P00206942,2
P00207042,163
P00207142,39
P00207242,124
P00207342,245
P00207442,140
P00207542,59
P00207642,65
P00207742,144
P00207842,59
P00207942,825
P00208042,176
P00208142,60
P00208242,92
P00208342,484
P00208442,53
P00208542,54
P00208642,1
P00208742,630
P00208842,183
P00208942,90
P00209042,11
P00209142,242
P00209242,41
P00209342,36
P00209442,39
P00209542,38
P00209642,217
P00209742,579
P00209842,763
P00209942,92
P00210042,1158
P00210142,18
P00210242,19
P00210342,501
P00210442,61
P00210542,110
P00210642,280
P00210742,10
P00210842,2
P00210942,499
P00211042,289
P00211142,855
P00211242,258
P00211342,6
P00211442,20
P00211542,71
P00211642,31
P00211742,1
P00211942,110
P00212042,358
P00212142,258
P00212242,360
P00212342,80
P00212442,113
P00212542,185
P00212642,5
P00212742,255
P00212842,136
P00212942,900
P00213042,230
P00213142,31
P00213242,910
P00213342,97
P00213442,12
P00213542,81
P00213642,128
P00213742,502
P00213842,74
P00213942,134
P00214042,8
P00214142,438
P00214242,300
P00214342,335
P00214442,705
P00214542,95
P00214642,237
P00214742,17
P00214842,265
P00214942,33
P00215042,10
P00215142,2
P00215242,149
P00215342,28
P00215442,247
P00215542,77
P00215642,242
P00215742,118
P00215842,16
P00215942,79
P00216042,683
P00216142,770
P00216242,106
P00216342,1339
P00216442,69
P00216542,161
P00216642,2
P00216742,553
P00216842,94
P00216942,124
P00217042,42
P00217142,237
P00217242,93
P00217342,111
P00217442,581
P00217542,233
P00217642,46
P00217742,614
P00217842,112
P00217942,474
P00218042,182
P00218142,147
P00218242,194
P00218342,312
P00218442,250
P00218542,140
P00218642,314
P00218742,171
P00218842,137
P00218942,135
P00219042,114
P00219142,114
P00219242,401
P00219342,116
P00219442,46
P00219542,172
P00219642,13
P00219742,207
P00219842,256
P00219942,577
P00220042,162
P00220142,623
P00220242,440
P00220342,965
P00220442,1833
P00220542,12
P00220642,288
P00220742,180
P00220842,33
P00220942,240
P00221042,308
P00221142,298
P00221242,230
P00221342,542
P00221442,1069
P00221542,789
P00221642,200
P00221742,343
P00221842,320
P00221942,304
P00222042,218
P00222142,345
P00222242,304
P00222342,11
P00222442,275
P00222542,55
P00222642,87
P00222742,59
P00222842,386
P00222942,386
P00223042,221
P00223142,405
P00223242,658
P00223342,45
P00223442,21
P00223542,623
P00223642,387
P00223742,140
P00223842,113
P00223942,361
P00224042,111
P00224142,481
P00224242,43
P00224342,78
P00224442,92
P00224542,66
P00224642,1
P00224742,143
P00224842,36
P00224942,19
P00225042,124
P00225142,88
P00225242,3
P00225342,60
P00225442,46
P00225542,205
P00225642,151
P00225742,26
P00225842,322
P00225942,85
P00226042,15
P00226142,144
P00226242,386
P00226342,861
P00226442,224
P00226542,210
P00226642,109
P00226742,195
P00226842,82
P00226942,51
P00227042,41
P00227142,357
P00227242,5
P00227342,36
P00227442,8
P00227542,244
P00227642,292
P00227742,406
P00227842,714
P00227942,328
P00228042,77
P00228142,148
P00228242,273
P00228342,110
P00228442,235
P00228542,34
P00228642,443
P00228742,38
P00228842,2
P00228942,26
P00229042,21
P00229142,20
P00229342,311
P00229442,5
P00229542,7
P00229642,64
P00229742,618
P00229842,82
P00229942,115
P00230042,23
P00230142,23
P00230242,78
P00230342,276
P00230442,129
P00230542,97
P00230642,45
P00230742,96
P00230842,458
P00230942,682
P00231042,8
P00231142,143
P00231242,221
P00231342,119
P00231442,44
P00231542,13
P00231642,3
P00231742,61
P00231842,16
P00231942,229
P00232042,96
P00232142,44
P00232242,41
P00232342,208
P00232442,222
P00232542,78
P00232642,137
P00232742,70
P00232842,62
P00232942,32
P00233042,203
P00233142,122
P00233242,106
P00233342,507
P00233442,502
P00233542,904
P00233642,281
P00233742,241
P00233842,282
P00233942,361
P00234042,12
P00234142,90
P00234242,22
P00234342,29
P00234442,4
P00234542,494
P00234642,119
P00234742,445
P00234842,494
P00234942,2
P00235042,12
P00235142,7
P00235242,125
P00235342,79
P00235442,128
P00235542,135
P00235642,151
P00235742,29
P00235842,168
P00235942,109
P00236042,125
P00236242,2
P00236342,174
P00236442,20
P00236542,139
P00236642,96
P00236742,6
P00236842,1
P00236942,302
P00237042,31
P00237142,237
P00237242,173
P00237342,7
P00237442,77
P00237542,1999
P00237642,553
P00237742,33
P00237842,142
P00237942,108
P00238042,3
P00238142,22
P00238242,3
P00238342,23
P00238442,561
P00238542,486
P00238642,53
P00238742,180
P00238842,1
P00238942,35
P00239042,17
P00239142,82
P00239242,50
P00239342,31
P00239442,1
P00239542,1
P00239642,29
P00239742,51
P00239842,115
P00239942,52
P00240042,410
P00240142,1181
P00240242,323
P00240342,5
P00240442,605
P00240542,160
P00240642,60
P00240742,4
P00240842,48
P00240942,31
P00241042,114
P00241142,108
P00241242,233
P00241342,36
P00241442,145
P00241542,476
P00241642,794
P00241742,39
P00241842,1
P00241942,27
P00242042,53
P00242142,319
P00242242,4
P00242342,79
P00242442,51
P00242542,33
P00242642,10
P00242742,1774
P00242842,113
P00242942,31
P00243042,3
P00243142,8
P00243242,137
P00243342,75
P00243442,27
P00243542,11
P00243642,29
P00243742,28
P00243842,138
P00243942,976
P00244042,660
P00244142,397
P00244242,255
P00244342,186
P00244442,81
P00244542,29
P00244642,37
P00244742,310
P00244842,55
P00244942,28
P00245042,71
P00245142,45
P00245242,35
P00245342,101
P00245442,40
P00245542,44
P00245642,956
P00245742,9
P00245842,36
P00245942,108
P00246042,72
P00246142,434
P00246242,38
P00246342,490
P00246442,55
P00246542,22
P00246642,43
P00246742,216
P00246842,88
P00246942,177
P00247042,606
P00247142,301
P00247242,7
P00247342,22
P00247442,8
P00247542,208
P00247642,181
P00247742,22
P00247842,3
P00247942,31
P00248042,68
P00248142,1141
P00248242,4
P00248342,447
P00248442,339
P00248542,558
P00248642,32
P00248742,314
P00248842,17
P00248942,845
P00249042,168
P00249142,624
P00249242,10
P00249342,60
P00249442,39
P00249542,1075
P00249642,1000
P00249742,692
P00249842,308
P00249942,1
P00250042,30
P00250142,5
P00250242,1067
P00250342,483
P00250442,41
P00250542,175
P00250642,963
P00250742,20
P00250842,737
P00250942,325
P00251042,73
P00251142,18
P00251242,1682
P00251342,439
P00251442,309
P00251542,368
P00251642,298
P00251742,66
P00251842,464
P00251942,676
P00252042,492
P00252142,74
P00252242,99
P00252342,24
P00252442,326
P00252542,166
P00252642,133
P00252742,153
P00252842,113
P00252942,38
P00253042,347
P00253142,374
P00253242,181
P00253342,19
P00253442,65
P00253542,350
P00253642,17
P00253742,51
P00253842,1
P00253942,16
P00254042,31
P00254142,183
P00254242,740
P00254342,294
P00254442,108
P00254542,71
P00254642,215
P00254742,37
P00254842,144
P00254942,50
P00255042,10
P00255142,23
P00255242,24
P00255342,101
P00255442,21
P00255542,337
P00255642,7
P00255742,537
P00255842,1914
P00255942,832
P00256042,212
P00256142,4
P00256242,26
P00256342,19
P00256442,12
P00256542,58
P00256642,728
P00256742,139
P00256842,190
P00256942,12
P00257042,52
P00257142,11
P00257242,10
P00257342,5
P00257442,26
P00257542,271
P00257642,64
P00257742,48
P00257842,89
P00257942,6
P00258042,52
P00258142,15
P00258242,56
P00258342,112
P00258442,343
P00258542,132
P00258642,40
P00258742,1354
P00258842,438
P00258942,202
P00259042,287
P00259142,417
P00259242,183
P00259342,1185
P00259442,126
P00259542,80
P00259642,17
P00259742,74
P00259842,240
P00259942,281
P00260042,1061
P00260142,348
P00260242,141
P00260342,74
P00260442,286
P00260542,16
P00260642,35
P00260742,1
P00260842,37
P00260942,25
P00261042,5
P00261142,205
P00261242,113
P00261342,91
P00261442,43
P00261542,256
P00261642,41
P00261742,2
P00261842,203
P00261942,4
P00262042,11
P00262142,3
P00262242,594
P00262342,269
P00262442,96
P00262542,121
P00262642,9
P00262742,4
P00262842,5
P00262942,11
P00263042,43
P00263142,127
P00263242,16
P00263342,8
P00263442,312
P00263542,386
P00263642,35
P00263742,13
P00263842,60
P00264042,128
P00264142,25
P00264242,31
P00264342,20
P00264442,4
P00264542,105
P00264642,114
P00264742,18
P00264842,7
P00264942,10
P00265042,66
P00265142,315
P00265242,2709
P00265342,187
P00265442,102
P00265542,287
P00265642,70
P00265742,405
P00265842,23
P00265942,18
P00266042,158
P00266142,236
P00266242,49
P00266342,3
P00266442,154
P00266542,563
P00266642,580
P00266742,18
P00266842,52
P00266942,235
P00267042,34
P00267142,162
P00267242,24
P00267342,127
P00267442,55
P00267542,613
P00267642,93
P00267742,212
P00267842,36
P00267942,50
P00268042,28
P00268142,3
P00268242,97
P00268342,225
P00268442,799
P00268542,147
P00268642,8
P00268742,38
P00268842,25
P00268942,1
P00269042,20
P00269142,17
P00269242,73
P00269342,92
P00269442,129
P00269542,259
P00269642,130
P00269742,75
P00269842,13
P00269942,54
P00270042,197
P00270142,172
P00270242,674
P00270342,1
P00270442,6
P00270542,367
P00270642,15
P00270742,8
P00270842,650
P00270942,1594
P00271042,398
P00271142,1134
P00271242,311
P00271342,81
P00271442,257
P00271542,189
P00271642,13
P00271742,96
P00271842,46
P00271942,346
P00272042,78
P00272142,62
P00272242,157
P00272342,4
P00272442,7
P00272542,88
P00272642,7
P00272742,4
P00272842,110
P00272942,128
P00273042,74
P00273142,27
P00273242,40
P00273342,89
P00273442,227
P00273542,291
P00273642,120
P00273742,555
P00273842,22
P00273942,239
P00274042,692
P00274142,582
P00274242,496
P00274342,267
P00274442,413
P00274542,150
P00274642,266
P00274742,3
P00274842,112
P00274942,1139
P00275042,2
P00275142,227
P00275242,9
P00275342,11
P00275442,9
P00275542,53
P00275642,338
P00275742,105
P00275842,784
P00275942,64
P00276042,80
P00276142,244
P00276242,46
P00276342,366
P00276442,47
P00276542,92
P00276642,431
P00276742,30
P00276842,86
P00276942,32
P00277042,10
P00277142,28
P00277242,67
P00277342,7
P00277442,967
P00277542,395
P00277642,1408
P00277742,82
P00277842,330
P00277942,302
P00278042,315
P00278142,25
P00278242,316
P00278342,7
P00278442,262
P00278542,105
P00278642,1735
P00278742,7
P00278842,2
P00278942,253
P00279042,3
P00279142,29
P00279242,7
P00279342,195
P00279442,502
P00279542,698
P00279642,222
P00279742,41
P00279842,29
P00279942,117
P00280042,8
P00280142,53
P00280242,43
P00280342,113
P00280442,340
P00280542,85
P00280642,192
P00280742,317
P00280842,407
P00280942,25
P00281042,161
P00281142,125
P00281242,12
P00281342,5
P00281442,7
P00281542,104
P00281642,142
P00281742,168
P00281842,38
P00281942,182
P00282042,694
P00282142,254
P00282242,327
P00282342,135
P00282442,472
P00282542,56
P00282642,669
P00282742,249
P00282842,60
P00282942,54
P00283042,29
P00283142,444
P00283242,99
P00283342,67
P00283442,13
P00283542,59
P00283642,26
P00283742,11
P00283842,122
P00283942,774
P00284042,255
P00284142,109
P00284242,59
P00284342,5
P00284542,9
P00284642,434
P00284742,219
P00284842,281
P00284942,111
P00285042,45
P00285142,1
P00285242,152
P00285342,279
P00285442,283
P00285542,42
P00285642,465
P00285742,250
P00285842,759
P00285942,27
P00286042,182
P00286142,53
P00286242,67
P00286342,73
P00286442,120
P00286542,110
P00286642,816
P00286742,659
P00286842,305
P00286942,2
P00287042,2
P00287142,65
P00287242,385
P00287342,280
P00287442,199
P00287542,143
P00287642,104
P00287742,14
P00287842,165
P00287942,75
P00288042,401
P00288142,69
P00288242,170
P00288342,438
P00288442,217
P00288542,457
P00288642,638
P00288742,188
P00288842,50
P00288942,599
P00289042,536
P00289142,21
P00289242,677
P00289342,758
P00289442,50
P00289542,26
P00289642,158
P00289742,60
P00289842,431
P00289942,1212
P00290042,86
P00290142,10
P00290242,61
P00290342,48
P00290442,3
P00290542,104
P00290642,13
P00290742,24
P00290842,2
P00290942,26
P00291042,149
P00291142,2
P00291242,43
P00291342,39
P00291442,223
P00291542,95
P00291642,2
P00291742,29
P00291842,30
P00291942,136
P00292042,136
P00292142,2
P00292242,13
P00292342,53
P00292442,10
P00292542,7
P00292642,47
P00292742,101
P00292842,28
P00292942,35
P00293042,204
P00293142,246
P00293242,960
P00293342,556
P00293442,5
P00293542,44
P00293742,267
P00293842,196
P00293942,6
P00294042,245
P00294142,291
P00294242,404
P00294342,29
P00294442,340
P00294542,838
P00294642,14
P00294742,17
P00294842,224
P00294942,1
P00295042,46
P00295142,4
P00295242,128
P00295342,389
P00295442,199
P00295542,20
P00295642,1
P00295742,378
P00295842,704
P00295942,1362
P00296042,1017
P00296142,121
P00296242,401
P00296342,178
P00296442,55
P00296542,124
P00296642,93
P00296742,39
P00296842,3
P00296942,307
P00297042,328
P00297142,3
P00297242,41
P00297342,249
P00297442,121
P00297542,20
P00297642,173
P00297742,295
P00297842,198
P00297942,255
P00298042,57
P00298142,130
P00298242,286
P00298342,1
P00298442,395
P00298542,154
P00298742,102
P00298842,4
P00298942,197
P00299042,1
P00299142,693
P00299242,51
P00299342,1
P00299442,178
P00299542,82
P00299642,10
P00299742,1
P00299842,66
P00299942,23
P00300042,349
P00300142,1
P00300242,22
P00300342,25
P00300442,23
P00300542,52
P00300642,93
P00300742,2
P00300942,61
P00301042,3
P00301142,2
P00301242,54
P00301342,2
P00301442,1
P00301542,220
P00301642,28
P00301742,24
P00301842,44
P00301942,2
P00302042,242
P00302142,244
P00302242,4
P00302342,369
P00302442,524
P00302542,157
P00302642,266
P00302742,287
P00302842,208
P00302942,447
P00303042,876
P00303142,342
P00303242,862
P00303342,838
P00303442,480
P00303542,265
P00303642,310
P00303742,380
P00303842,340
P00303942,122
P00304042,516
P00304142,391
P00304242,250
P00304342,114
P00304442,369
P00304542,143
P00304642,360
P00304742,150
P00304842,257
P00304942,129
P00305042,448
P00305142,351
P00305242,74
P00305342,37
P00305442,1
P00305542,1
P00305642,40
P00305742,7
P00305842,11
P00305942,36
P00306042,311
P00306142,101
P00306242,103
P00306342,4
P00306442,42
P00306542,1
P00306742,5
P00306842,5
P00306942,2
P00307042,2
P00307142,161
P00307242,1
P00307342,459
P00307442,142
P00307542,416
P00307642,470
P00307742,40
P00307842,4
P00307942,41
P00308042,1
P00308142,18
P00308242,204
P00308342,220
P00308442,19
P00308542,47
P00308642,20
P00308842,18
P00308942,3
P00309042,1
P00309142,219
P00309242,385
P00309342,37
P00309442,22
P00309542,38
P00309642,1
P00309742,3
P00309842,1
P00309942,147
P00310042,119
P00310142,142
P00310242,108
P00310342,251
P00310442,20
P00310542,85
P00310642,24
P00310742,10
P00310842,359
P00310942,8
P00311042,2
P00311242,20
P00311342,35
P00311442,51
P00311542,143
P00311642,170
P00311742,32
P00311842,15
P00311942,20
P00312042,4
P00312142,160
P00312242,19
P00312342,109
P00312442,13
P00312542,2
P00312642,1
P00312742,625
P00312842,225
P00312942,77
P00313042,344
P00313142,387
P00313242,466
P00313342,857
P00313442,578
P00313542,770
P00313642,124
P00313742,190
P00313842,198
P00313942,34
P00314042,47
P00314142,57
P00314242,42
P00314342,44
P00314542,13
P00314642,54
P00314742,1
P00314842,1
P00314942,3
P00315042,78
P00315142,2
P00315242,2
P00315342,1
P00315442,215
P00315542,106
P00315642,575
P00315742,130
P00315842,240
P00315942,29
P00316042,22
P00316142,69
P00316242,129
P00316342,34
P00316442,165
P00316542,41
P00316642,583
P00316742,278
P00316842,257
P00316942,70
P00317042,22
P00317142,93
P00317242,16
P00317342,26
P00317442,173
P00317542,110
P00317642,79
P00317742,2
P00317842,1049
P00317942,339
P00318042,5
P00318142,133
P00318342,42
P00318442,13
P00318542,40
P00318642,54
P00318742,1080
P00318842,5
P00318942,161
P00319042,935
P00319142,176
P00319242,55
P00319342,622
P00319442,59
P00319542,163
P00319642,57
P00319742,43
P00319842,214
P00319942,170
P00320042,63
P00320142,52
P00320242,37
P00320342,33
P00320442,411
P00320542,109
P00320642,10
P00320742,399
P00320842,188
P00320942,149
P00321042,368
P00321142,33
P00321242,3
P00321342,177
P00321442,106
P00321542,35
P00321642,54
P00321742,864
P00321842,28
P00321942,622
P00322042,285
P00322142,259
P00322242,68
P00322342,37
P00322442,46
P00322542,108
P00322642,1
P00322742,49
P00322842,1
P00322942,272
P00323042,233
P00323142,7
P00323242,18
P00323342,14
P00323442,164
P00323542,208
P00323642,334
P00323742,210
P00323842,68
P00323942,1172
P00324042,4
P00324142,15
P00324242,13
P00324342,108
P00324442,515
P00324542,223
P00324642,205
P00324742,427
P00324842,117
P00324942,1091
P00325042,2
P00325142,133
P00325242,241
P00325342,2
P00325442,8
P00325542,58
P00325642,18
P00325742,571
P00325842,13
P00325942,50
P00326042,12
P00326242,255
P00326342,6
P00326442,46
P00326542,75
P00326642,222
P00326742,695
P00326842,141
P00326942,210
P00327042,67
P00327142,113
P00327242,547
P00327342,272
P00327442,138
P00327542,300
P00327642,284
P00327742,70
P00327842,624
P00327942,54
P00328042,354
P00328142,311
P00328242,44
P00328342,152
P00328442,180
P00328642,43
P00328742,158
P00328842,27
P00328942,146
P00329042,2
P00329142,7
P00329242,418
P00329342,287
P00329442,628
P00329542,1021
P00329642,250
P00329742,126
P00329842,1
P00329942,23
P00330042,14
P00330142,6
P00330242,386
P00330342,496
P00330442,393
P00330542,22
P00330642,143
P00330742,30
P00330842,20
P00331042,672
P00331142,78
P00331242,343
P00331342,179
P00331442,53
P00331542,223
P00331642,195
P00331742,129
P00331842,303
P00331942,754
P00332042,64
P00332142,88
P00332242,722
P00332342,259
P00332442,94
P00332542,23
P00332642,22
P00332742,10
P00332842,102
P00332942,214
P00333042,240
P00333142,28
P00333242,26
P00333342,30
P00333442,9
P00333542,103
P00333642,61
P00333742,22
P00333842,10
P00333942,3
P00334042,220
P00334142,45
P00334242,1514
P00334342,52
P00334442,22
P00334542,9
P00334642,105
P00334742,13
P00334842,21
P00334942,23
P00335042,38
P00335142,64
P00335242,497
P00335342,6
P00335442,274
P00335542,139
P00335642,3
P00335742,51
P00335842,28
P00335942,139
P00336042,76
P00336142,101
P00336242,2
P00336342,39
P00336442,3
P00336542,97
P00336642,41
P00336742,129
P00336842,1
P00336942,648
P00337042,4
P00337142,27
P00337242,13
P00337342,21
P00337442,71
P00337542,420
P00337642,267
P00337742,107
P00337842,321
P00337942,277
P00338042,71
P00338142,39
P00338242,2
P00338342,69
P00338442,1017
P00338542,601
P00338642,11
P00338742,38
P00338842,86
P00338942,78
P00339042,223
P00339142,2
P00339242,28
P00339342,279
P00339442,126
P00339542,368
P00339642,9
P00339742,18
P00339842,499
P00339942,363
P00340042,8
P00340142,3
P00340242,12
P00340342,81
P00340442,13
P00340542,15
P00340642,146
P00340742,1
P00340842,8
P00340942,226
P00341042,2
P00341142,3
P00341242,124
P00341342,390
P00341442,41
P00341542,1
P00341642,4
P00341742,56
P00341842,34
P00341942,126
P00342042,65
P00342142,74
P00342242,48
P00342342,43
P00342442,20
P00342542,4
P00342642,29
P00342742,286
P00342842,54
P00342942,17
P00343042,874
P00343142,123
P00343242,26
P00343342,33
P00343442,211
P00343542,164
P00343642,34
P00343742,67
P00343842,51
P00343942,40
P00344042,244
P00344142,169
P00344242,498
P00344342,282
P00344442,417
P00344542,330
P00344742,265
P00344842,116
P00344942,99
P00345042,28
P00345142,44
P00345242,141
P00345342,48
P00345442,41
P00345542,52
P00345642,490
P00345742,572
P00345842,661
P00345942,194
P00346042,399
P00346142,826
P00346242,794
P00346342,564
P00346442,302
P00346542,372
P00346642,181
P00346742,211
P00346842,84
P00346942,140
P00347042,22
P00347142,277
P00347242,68
P00347342,52
P00347442,66
P00347542,51
P00347642,458
P00347742,48
P00347842,38
P00347942,69
P00348042,20
P00348142,1
P00348242,204
P00348342,148
P00348442,88
P00348542,77
P00348642,114
P00348742,119
P00348842,176
P00348942,349
P00349042,33
P00349142,59
P00349242,213
P00349342,38
P00349442,403
P00349542,29
P00349642,41
P00349742,68
P00349842,30
P00349942,466
P00350042,174
P00350142,179
P00350242,64
P00350342,345
P00350442,413
P00350542,50
P00350642,116
P00350742,1
P00350842,18
P00350942,1046
P00351042,460
P00351142,934
P00351242,160
P00351342,795
P00351442,20
P00351542,15
P00351642,96
P00351742,29
P00351842,244
P00351942,20
P00352042,2
P00352142,542
P00352242,191
P00352342,37
P00352442,153
P00352542,83
P00352642,60
P00352742,156
P00352842,262
P00352942,120
P00353042,1
P00353142,132
P00353242,45
P00353342,16
P00353442,19
P00353542,9
P00353642,4
P00353742,1
P00353842,37
P00353942,24
P00354042,36
P00354142,185
P00354242,131
P00354342,490
P00354442,143
P00354542,46
P00354642,194
P00354742,120
P00354842,38
P00354942,339
P00355042,54
P00355142,1169
P00355242,93
P00355342,56
P00355442,7
P00355542,24
P00355642,362
P00355742,78
P00355842,2
P00355942,167
P00356042,248
P00356142,6
P00356242,34
P00356342,26
P00356442,41
P00356542,91
P00356642,30
P00356742,653
P00356842,61
P00356942,275
P00357042,222
P00357142,58
P00357242,166
P00357342,33
P00357442,11
P00357542,6
P00357642,198
P00357742,28
P00357842,190
P00357942,55
P00358042,53
P00358142,91
P00358242,169
P00358342,310
P00358442,369
P00358542,2
P00358642,14
P00358742,143
P00358842,15
P00358942,42
P00359042,132
P00359142,143
P00359242,290
P00359342,79
P00359442,33
P00359542,33
P00359642,85
P00359742,243
P00359842,1
P00359942,26
P00360042,322
P00360142,17
P00360242,106
P00360342,16
P00360442,13
P00360542,33
P00360642,11
P00360742,30
P00360842,167
P00360942,8
P00361042,14
P00361142,25
P00361242,45
P00361342,51
P00361442,64
P00361542,9
P00361642,192
P00361742,14
P00361842,519
P00361942,106
P00362042,116
P00362142,4
P00362242,9
P00362342,546
P00362442,340
P00362542,34
P00362642,230
P00362742,85
P00362842,220
P00362942,19
P00363042,3
P00363142,3
P00363242,149
P00363342,8
P00363442,104
P00363542,14
P00363742,187
P00363842,12
P00363942,30
P00364042,21
P00364142,28
P00364242,3
P00364342,1
P00364442,100
P00364542,1
P00364642,6
P00364742,8
P00364842,446
P00364942,14
P00365042,74
P00365142,136
P00365242,762
P00365342,35
P00365442,2
P00365542,31
P00365642,81
P00365742,15
P00365842,39
P00365942,1
P00366042,7
P00366142,24
P00366242,68
P00366342,49
P00366442,165
P00366542,515
P00366642,30
P00366742,18
P00366842,52
P00366942,99
P00367042,333
P00367142,228
P00367242,122
P00367342,72
P00367442,54
P00367542,36
P00367642,33
P00367742,85
P00367842,17
P00367942,95
P00368042,136
P00368142,275
P00368242,159
P00368342,121
P00368442,177
P00368542,24
P00368642,183
P00368742,13
P00368842,20
P00368942,17
P00369042,86
P00369142,106
P00369242,22
P00369342,20
P00369442,11
P00369542,18
P00369642,20
P00369742,74
P00369842,8
P00369942,34
P00370042,74
P00370142,46
P00370242,677
P00370342,242
P00370442,42
P00370542,33
P00370642,302
P0093742,16
P0093842,7
P0093942,98
P0094042,80
P0094142,105
P0094242,61
P0094342,186
P0094442,72
P0094542,242
P0094642,184
P0094742,102
P0094842,242
P0094942,203
P0095042,112
P0095142,172
P0095242,124
P0095342,214
P0095442,88
P0095542,457
P0095642,308
P0095742,179
P0095842,452
P0095942,171
P0096042,99
P0096142,232
P0096242,5
P0096342,263
P0096442,782
P0096542,468
P0096642,252
P0096742,244
P0096842,410
P0096942,224
P0097042,130
P0097142,705
P0097242,1304
P0097342,488
P0097442,9
P0097542,3
P0097642,2
P0097742,372
P0097842,414
P0097942,79
P0098042,27
P0098142,72
P0098242,328
P0098342,358
P0098442,110
P0098542,78
P0098642,33
P0098742,64
P0098842,13
P0098942,43
P0099042,215
P0099142,9
P0099242,365
P0099342,610
P0099442,292
P0099542,1
P0099642,20
P0099742,170
P0099842,135
P0099942,18
